,ID,Host Since,property_type,city_orig,state_orig,country_code,Country,Latitude,Longitude,postal_code,Geolocation,host_since_year,City,State,zip_latitude,zip_longitude
56,8500219,2011-11-01,Apartment,Paris,Île-de-France,FR,France,48.85800167814933,2.3543425209793205,75004,"48.85800167814933, 2.3543425209793205",2011.0,Paris 04,Île-de-France,48.8601,2.3507
57,13086480,2016-05-18,Apartment,Paris,Île-de-France,FR,France,48.85778736125876,2.357036837805314,75004,"48.85778736125876, 2.357036837805314",2016.0,Paris,Île-de-France,48.8534,2.3488
58,13086480,2016-05-18,Apartment,Paris,Île-de-France,FR,France,48.85778736125876,2.357036837805314,75004,"48.85778736125876, 2.357036837805314",2016.0,Paris 04,Île-de-France,48.8601,2.3507
59,7660518,2013-05-03,Apartment,Paris,Île-de-France,FR,France,48.85744157260591,2.3504915522935534,75004,"48.85744157260591, 2.3504915522935534",2013.0,Paris,Île-de-France,48.8534,2.3488
60,12155399,2015-07-07,Apartment,Paris,Île-de-France,FR,France,48.86073555774681,2.3499411230782044,75004,"48.86073555774681, 2.3499411230782044",2015.0,Paris,Île-de-France,48.8534,2.3488
61,14247129,2016-07-04,Apartment,Paris,Île-de-France,FR,France,48.85018306458724,2.363304428363245,75004,"48.85018306458724, 2.363304428363245",2016.0,Paris,Île-de-France,48.8534,2.3488
62,3430957,2014-04-15,Apartment,Paris,Île-de-France,FR,France,48.85495023717147,2.3612625476504623,75004,"48.85495023717147, 2.3612625476504623",2014.0,Paris,Île-de-France,48.8534,2.3488
63,11977529,2012-05-29,Apartment,Paris,Île-de-France,FR,France,48.850812550303026,2.358508323903457,75004,"48.850812550303026, 2.358508323903457",2012.0,Paris,Île-de-France,48.8534,2.3488
64,11977529,2012-05-29,Apartment,Paris,Île-de-France,FR,France,48.850812550303026,2.358508323903457,75004,"48.850812550303026, 2.358508323903457",2012.0,Paris 04,Île-de-France,48.8601,2.3507
65,3149368,2012-10-25,Apartment,Paris,Île-de-France,FR,France,48.85395581267715,2.3597664438092476,75004,"48.85395581267715, 2.3597664438092476",2012.0,Paris,Île-de-France,48.8534,2.3488
66,7530777,2014-10-30,House,Boulogne-Billancourt,Île-de-France,FR,France,48.83794464448205,2.2477103175900024,92100,"48.83794464448205, 2.2477103175900024",2014.0,Boulogne-Billancourt,Île-de-France,48.8354,2.2413
67,18031010,2017-04-03,Apartment,Levallois-Perret,Île-de-France,FR,France,48.891757050405324,2.290739300514827,92300,"48.891757050405324, 2.290739300514827",2017.0,Levallois-Perret,Île-de-France,48.8939,2.2886
68,17596815,2017-03-07,Boutique hotel,Saint-Ouen,Île-de-France,FR,France,48.90487718539224,2.3360188652196343,93400,"48.90487718539224, 2.3360188652196343",2017.0,Saint-Ouen,Île-de-France,48.9065,2.3334
69,17843101,2017-03-22,Apartment,Neuilly-sur-Seine,Île-de-France,FR,France,48.88094034159669,2.2794262877847644,92200,"48.88094034159669, 2.2794262877847644",2017.0,Neuilly-sur-Seine,Île-de-France,48.8846,2.2697
70,10808,2009-09-16,Bed & Breakfast,Paris,Île-de-France,FR,France,48.86071924843735,2.350337986535065,75004,"48.86071924843735, 2.350337986535065",2009.0,Paris,Île-de-France,48.8534,2.3488
71,10808,2009-09-16,Bed & Breakfast,Paris,Île-de-France,FR,France,48.86071924843735,2.350337986535065,75004,"48.86071924843735, 2.350337986535065",2009.0,Paris 04,Île-de-France,48.8601,2.3507
72,16898049,2016-11-26,Loft,Paris,Île-de-France,FR,France,48.85673222309491,2.35835533149886,75004,"48.856732223094916, 2.35835533149886",2016.0,Paris,Île-de-France,48.8534,2.3488
73,16898049,2016-11-26,Loft,Paris,Île-de-France,FR,France,48.85673222309491,2.35835533149886,75004,"48.856732223094916, 2.35835533149886",2016.0,Paris 04,Île-de-France,48.8601,2.3507
74,7877792,2011-05-28,Apartment,Paris,Île-de-France,FR,France,48.85375826799093,2.3591275484376566,75004,"48.85375826799093, 2.3591275484376566",2011.0,Paris,Île-de-France,48.8534,2.3488
75,7877792,2011-05-28,Apartment,Paris,Île-de-France,FR,France,48.85375826799093,2.3591275484376566,75004,"48.85375826799093, 2.3591275484376566",2011.0,Paris 04,Île-de-France,48.8601,2.3507
76,2492307,2013-10-10,Apartment,Rome,Lazio,IT,Italy,41.89598252846057,12.468897634970284,00186,"41.89598252846057, 12.468897634970283",2013.0,Roma,Lazio,41.8919,12.5113
77,5795622,2015-03-26,Apartment,Roma,Lazio,IT,Italy,41.88703361854223,12.477904306337152,00153,"41.88703361854223, 12.477904306337152",2015.0,Roma,Lazio,41.8919,12.5113
